id	skill	class	prompt	facts	expected_activation	expected_artifact	expected_question	invariant	forbidden	scoring_evidence
bulletproof-direct	bulletproof	direct	Use $bulletproof. Verify every claim in the completed implementation and prove the result with direct commands.	No additional facts.	yes	none	none	Verify the frozen claim set against direct evidence.	wrong skill or skipped method	activation trace and final output
bulletproof-implicit	bulletproof	implicit	Verify every claim in the completed implementation and prove the result with direct commands.	No additional facts.	yes	none	none	Verify the frozen claim set against direct evidence.	wrong skill or skipped method	activation trace and final output
bulletproof-near-miss	bulletproof	near-miss	Audit this subsystem broadly for unknown risks.	No additional facts.	no	none	none	Do not activate this skill.	activation or method leakage	activation trace and final output
bulletproof-isolated	bulletproof	isolated	Verify every claim in the completed implementation and prove the result with direct commands.	No additional facts.	yes	none	none	Verify the frozen claim set against direct evidence.	sibling dependency or missing procedure	activation trace and final output
campaign-direct	campaign	direct	Use $campaign. Deliver this cross-repository goal through independent workstreams and multiple pull requests.	No additional facts.	yes	none	none	Coordinate dependency-ready write-disjoint lanes through native delivery state.	wrong skill or skipped method	activation trace and final output
campaign-implicit	campaign	implicit	Deliver this cross-repository goal through independent workstreams and multiple pull requests.	No additional facts.	yes	none	none	Coordinate dependency-ready write-disjoint lanes through native delivery state.	wrong skill or skipped method	activation trace and final output
campaign-near-miss	campaign	near-miss	Implement this contained change in one pull request.	No additional facts.	no	none	none	Do not activate this skill.	activation or method leakage	activation trace and final output
campaign-isolated	campaign	isolated	Deliver this cross-repository goal through independent workstreams and multiple pull requests.	No additional facts.	yes	none	none	Coordinate dependency-ready write-disjoint lanes through native delivery state.	sibling dependency or missing procedure	activation trace and final output
demolition-direct	demolition	direct	Use $demolition. Build the strongest possible case against adopting this design.	No additional facts.	yes	none	none	Return one-sided advocacy with the quarantine banner and no verdict.	wrong skill or skipped method	activation trace and final output
demolition-implicit	demolition	implicit	Build the strongest possible case against adopting this design.	No additional facts.	yes	none	none	Return one-sided advocacy with the quarantine banner and no verdict.	wrong skill or skipped method	activation trace and final output
demolition-near-miss	demolition	near-miss	Give me a balanced evaluation of this design.	No additional facts.	no	none	none	Do not activate this skill.	activation or method leakage	activation trace and final output
demolition-isolated	demolition	isolated	Build the strongest possible case against adopting this design.	No additional facts.	yes	none	none	Return one-sided advocacy with the quarantine banner and no verdict.	sibling dependency or missing procedure	activation trace and final output
disrespec-direct	disrespec	direct	Use $disrespec. Rewrite this developer guide to remove repetition softness and ceremony without losing facts.	No additional facts.	yes	none	none	Compress supplied prose in place without changing its contract.	wrong skill or skipped method	activation trace and final output
disrespec-implicit	disrespec	implicit	Rewrite this developer guide to remove repetition softness and ceremony without losing facts.	No additional facts.	yes	none	none	Compress supplied prose in place without changing its contract.	wrong skill or skipped method	activation trace and final output
disrespec-near-miss	disrespec	near-miss	Refactor this TypeScript function.	No additional facts.	no	none	none	Do not activate this skill.	activation or method leakage	activation trace and final output
disrespec-isolated	disrespec	isolated	Rewrite this developer guide to remove repetition softness and ceremony without losing facts.	No additional facts.	yes	none	none	Compress supplied prose in place without changing its contract.	sibling dependency or missing procedure	activation trace and final output
dissect-direct	dissect	direct	Use $dissect. Trace this dangerous request path through callers state effects failures and tests.	No additional facts.	yes	none	none	Close one code path with file-line evidence and explicit unknowns.	wrong skill or skipped method	activation trace and final output
dissect-implicit	dissect	implicit	Trace this dangerous request path through callers state effects failures and tests.	No additional facts.	yes	none	none	Close one code path with file-line evidence and explicit unknowns.	wrong skill or skipped method	activation trace and final output
dissect-near-miss	dissect	near-miss	Map the whole repository for a future migration.	No additional facts.	no	none	none	Do not activate this skill.	activation or method leakage	activation trace and final output
dissect-isolated	dissect	isolated	Trace this dangerous request path through callers state effects failures and tests.	No additional facts.	yes	none	none	Close one code path with file-line evidence and explicit unknowns.	sibling dependency or missing procedure	activation trace and final output
fork-me-direct	fork-me	direct	Use $fork-me. We must choose an incompatible public behavior; investigate what is knowable and ask me to decide.	No additional facts.	yes	none	selection	Turn any required agent-to-human question into structured selection.	wrong skill or skipped method	activation trace and final output
fork-me-implicit	fork-me	implicit	We must choose an incompatible public behavior; investigate what is knowable and ask me to decide.	No additional facts.	yes	none	selection	Turn any required agent-to-human question into structured selection.	wrong skill or skipped method	activation trace and final output
fork-me-near-miss	fork-me	near-miss	What version of Node is installed here?	No additional facts.	no	none	none	Do not activate this skill.	activation or method leakage	activation trace and final output
fork-me-isolated	fork-me	isolated	We must choose an incompatible public behavior; investigate what is knowable and ask me to decide.	No additional facts.	yes	none	selection	Turn any required agent-to-human question into structured selection.	sibling dependency or missing procedure	activation trace and final output
promote-direct	promote	direct	Use $promote. Move this transient research artifact into the project-owned documentation and repair references.	No additional facts.	yes	none	none	Sanitize preflight move verify and repair the durable destination.	wrong skill or skipped method	activation trace and final output
promote-implicit	promote	implicit	Move this transient research artifact into the project-owned documentation and repair references.	No additional facts.	yes	none	none	Sanitize preflight move verify and repair the durable destination.	wrong skill or skipped method	activation trace and final output
promote-near-miss	promote	near-miss	Move this transient file into another temporary directory.	No additional facts.	no	none	none	Do not activate this skill.	activation or method leakage	activation trace and final output
promote-isolated	promote	isolated	Move this transient research artifact into the project-owned documentation and repair references.	No additional facts.	yes	none	none	Sanitize preflight move verify and repair the durable destination.	sibling dependency or missing procedure	activation trace and final output
remember-direct	remember	direct	Use $remember. Preserve this verified operational lesson after the work settles.	No additional facts.	yes	none	none	Save only verified durable knowledge through a native or project-owned channel.	wrong skill or skipped method	activation trace and final output
remember-implicit	remember	implicit	Preserve this verified operational lesson after the work settles.	No additional facts.	yes	none	none	Save only verified durable knowledge through a native or project-owned channel.	wrong skill or skipped method	activation trace and final output
remember-near-miss	remember	near-miss	Keep this speculative thought for the next ten minutes.	No additional facts.	no	none	none	Do not activate this skill.	activation or method leakage	activation trace and final output
remember-isolated	remember	isolated	Preserve this verified operational lesson after the work settles.	No additional facts.	yes	none	none	Save only verified durable knowledge through a native or project-owned channel.	sibling dependency or missing procedure	activation trace and final output
revolver-direct	revolver	direct	Use $revolver. Run exhaustive multi-angle sequential review and repair of this change.	No additional facts.	yes	none	none	Derive every justified stance and kill each finding before the next.	wrong skill or skipped method	activation trace and final output
revolver-implicit	revolver	implicit	Run exhaustive multi-angle sequential review and repair of this change.	No additional facts.	yes	none	none	Derive every justified stance and kill each finding before the next.	wrong skill or skipped method	activation trace and final output
revolver-near-miss	revolver	near-miss	Run a fast three-reviewer panel on this snapshot.	No additional facts.	no	none	none	Do not activate this skill.	activation or method leakage	activation trace and final output
revolver-isolated	revolver	isolated	Run exhaustive multi-angle sequential review and repair of this change.	No additional facts.	yes	none	none	Derive every justified stance and kill each finding before the next.	sibling dependency or missing procedure	activation trace and final output
sus-audit-direct	sus-audit	direct	Use $sus-audit. Audit the current subsystem for evidenced risk without a governing spec.	No additional facts.	yes	audit	none	Write an audit with evidence risks firing conditions and blast radius.	wrong skill or skipped method	activation trace, created path, and frontmatter
